support,itemsets,itemset_length
0.0026064291920069507,"waffles, whole milk",2
0.0025395976742631824,"canned beer, tropical fruit",2
0.0025395976742631824,"frankfurter, yogurt",2
0.0025395976742631824,"bottled beer, tropical fruit",2
0.0025395976742631824,"bottled beer, bottled water",2
0.0025395976742631824,"domestic eggs, soda",2
0.0025395976742631824,"newspapers, root vegetables",2
0.0025395976742631824,"uht-milk, whole milk",2
0.0025395976742631824,brandy,1
0.0024727661565194146,"canned beer, sausage",2
0.0024727661565194146,"root vegetables, whipped/sour cream",2
0.0024727661565194146,"tropical fruit, whipped/sour cream",2
0.0024727661565194146,"sugar, whole milk",2
0.0024727661565194146,"bottled beer, root vegetables",2
0.0024727661565194146,"coffee, soda",2
0.0024727661565194146,male cosmetics,1
0.0024059346387756467,"dessert, whole milk",2
0.0024059346387756467,"coffee, rolls/buns",2
0.0024059346387756467,"brown bread, canned beer",2
0.0024059346387756467,"napkins, whole milk",2
0.0024059346387756467,"long life bakery product, whole milk",2
0.0023391031210318785,"newspapers, soda",2
0.0023391031210318785,"brown bread, yogurt",2
0.0023391031210318785,meat spreads,1
0.0022722716032881106,"curd, yogurt",2
0.0022722716032881106,"berries, whole milk",2
0.0022722716032881106,jam,1
0.002205440085544343,"other vegetables, salty snack",2
0.002205440085544343,"bottled water, frankfurter",2
0.002205440085544343,"frankfurter, root vegetables",2
0.002205440085544343,"beef, yogurt",2
0.002205440085544343,"butter, yogurt",2
0.002205440085544343,"pastry, pip fruit",2
0.002205440085544343,"chicken, other vegetables",2
0.002205440085544343,"hamburger meat, other vegetables",2
0.002205440085544343,"citrus fruit, root vegetables",2
0.002205440085544343,"meat, whole milk",2
0.002205440085544343,"fruit/vegetable juice, yogurt",2
0.002205440085544343,dental care,1
0.002205440085544343,nuts/prunes,1
0.002138608567800575,"citrus fruit, pastry",2
0.002138608567800575,"sausage, whipped/sour cream",2
0.002138608567800575,"rolls/buns, white bread",2
0.002138608567800575,"frozen vegetables, root vegetables",2
0.002138608567800575,"frozen meals, other vegetables",2
0.002138608567800575,"pip fruit, sausage",2
0.002138608567800575,"margarine, yogurt",2
0.002138608567800575,"chicken, soda",2
0.002138608567800575,"domestic eggs, tropical fruit",2
0.002138608567800575,"bottled water, domestic eggs",2
0.002138608567800575,"other vegetables, uht-milk",2
0.002138608567800575,"candy, whole milk",2
0.002138608567800575,"napkins, other vegetables",2
0.002138608567800575,"meat, other vegetables",2
0.002138608567800575,"fruit/vegetable juice, soda",2
0.002138608567800575,"fruit/vegetable juice, tropical fruit",2
0.002138608567800575,"cream cheese, other vegetables",2
0.002138608567800575,ketchup,1
0.002138608567800575,rum,1
0.0020717770500568067,"canned beer, root vegetables",2
0.0020717770500568067,"citrus fruit, whipped/sour cream",2
0.0020717770500568067,"frozen vegetables, sausage",2
0.0020717770500568067,"frozen vegetables, yogurt",2
0.0020717770500568067,"pip fruit, tropical fruit",2
0.0020717770500568067,"bottled beer, pastry",2
0.0020717770500568067,"domestic eggs, yogurt",2
0.0020717770500568067,"dessert, other vegetables",2
0.0020717770500568067,"coffee, yogurt",2
0.0020717770500568067,cleaner,1
0.002004945532313039,"frozen vegetables, soda",2
0.002004945532313039,"butter, root vegetables",2
0.002004945532313039,"bottled water, pip fruit",2
0.002004945532313039,"bottled water, shopping bags",2
0.002004945532313039,"domestic eggs, root vegetables",2
0.002004945532313039,"dessert, rolls/buns",2
0.002004945532313039,"newspapers, pastry",2
0.002004945532313039,"coffee, root vegetables",2
0.002004945532313039,"brown bread, pastry",2
0.002004945532313039,kitchen towels,1
0.0019381140145692708,"salty snack, whole milk",2
0.0019381140145692708,"rolls/buns, salty snack",2
0.0019381140145692708,"bottled water, curd",2
0.0019381140145692708,"butter, sausage",2
0.0019381140145692708,"butter, citrus fruit",2
0.0019381140145692708,"frozen meals, whole milk",2
0.0019381140145692708,"sausage, shopping bags",2
0.0019381140145692708,"margarine, root vegetables",2
0.0019381140145692708,"hamburger meat, rolls/buns",2
0.0019381140145692708,"grapes, whole milk",2
0.0019381140145692708,"oil, whole milk",2
0.0019381140145692708,"beverages, whole milk",2
0.0019381140145692708,"ice cream, whole milk",2
0.0019381140145692708,fish,1
0.0019381140145692708,artif. sweetener,1
0.0019381140145692708,specialty fat,1
0.0019381140145692708,light bulbs,1
0.001871282496825503,"canned beer, shopping bags",2
0.001871282496825503,"canned beer, pastry",2
0.001871282496825503,"curd, tropical fruit",2
0.001871282496825503,"chocolate, other vegetables",2
0.001871282496825503,"pip fruit, shopping bags",2
0.001871282496825503,"margarine, sausage",2
0.001871282496825503,"bottled beer, canned beer",2
0.001871282496825503,"newspapers, tropical fruit",2
0.001871282496825503,"canned beer, newspapers",2
0.001871282496825503,"hard cheese, whole milk",2
0.001871282496825503,"beverages, soda",2
0.001871282496825503,"cream cheese, rolls/buns",2
0.001804450979081735,"bottled water, whipped/sour cream",2
0.001804450979081735,"frankfurter, pip fruit",2
0.001804450979081735,"beef, soda",2
0.001804450979081735,"beef, citrus fruit",2
0.001804450979081735,"bottled water, butter",2
0.001804450979081735,"citrus fruit, shopping bags",2
0.001804450979081735,"chicken, yogurt",2
0.001804450979081735,"domestic eggs, sausage",2
0.001804450979081735,"bottled water, newspapers",2
0.001804450979081735,"newspapers, sausage",2
0.001804450979081735,"newspapers, shopping bags",2
0.001804450979081735,"rolls/buns, uht-milk",2
0.001804450979081735,"brown bread, sausage",2
0.001804450979081735,"fruit/vegetable juice, sausage",2
0.001804450979081735,"fruit/vegetable juice, root vegetables",2
0.001804450979081735,"oil, other vegetables",2
0.001804450979081735,"oil, soda",2
0.001804450979081735,snack products,1
0.001804450979081735,tea,1
0.0017376194613379669,"hygiene articles, whole milk",2
0.0017376194613379669,"frankfurter, pastry",2
0.0017376194613379669,"citrus fruit, frankfurter",2
0.0017376194613379669,"bottled beer, newspapers",2
0.0017376194613379669,"brown bread, citrus fruit",2
0.0017376194613379669,"onions, rolls/buns",2
0.0017376194613379669,"napkins, rolls/buns",2
0.0017376194613379669,"napkins, pastry",2
0.0017376194613379669,"napkins, yogurt",2
0.0017376194613379669,"beverages, other vegetables",2
0.0017376194613379669,"pork, root vegetables",2
0.0017376194613379669,"ice cream, rolls/buns",2
0.0017376194613379669,"other vegetables, waffles",2
0.001670787943594199,"semi-finished bread, whole milk",2
0.001670787943594199,"pip fruit, whipped/sour cream",2
0.001670787943594199,"bottled beer, frankfurter",2
0.001670787943594199,"beef, newspapers",2
0.001670787943594199,"beef, root vegetables",2
0.001670787943594199,"curd, whipped/sour cream",2
0.001670787943594199,"bottled beer, butter",2
0.001670787943594199,"butter milk, whole milk",2
0.001670787943594199,"other vegetables, specialty chocolate",2
0.001670787943594199,"chocolate, soda",2
0.001670787943594199,"bottled beer, citrus fruit",2
0.001670787943594199,"bottled beer, domestic eggs",2
0.001670787943594199,"hamburger meat, yogurt",2
0.001670787943594199,"hamburger meat, soda",2
0.001670787943594199,"other vegetables, specialty bar",2
0.001670787943594199,"specialty bar, whole milk",2
0.001670787943594199,"brown bread, pip fruit",2
0.001670787943594199,"hard cheese, other vegetables",2
0.001670787943594199,"hard cheese, rolls/buns",2
0.001670787943594199,"bottled beer, fruit/vegetable juice",2
0.001670787943594199,"berries, rolls/buns",2
0.001670787943594199,"long life bakery product, rolls/buns",2
0.001670787943594199,"brown bread, pork",2
0.001670787943594199,"canned beer, pork",2
0.001670787943594199,"cat food, whole milk",2
0.001670787943594199,"chewing gum, whole milk",2
0.001603956425850431,"canned beer, pip fruit",2
0.001603956425850431,"beef, rolls/buns",2
0.001603956425850431,"citrus fruit, frozen vegetables",2
0.001603956425850431,"chocolate, yogurt",2
0.001603956425850431,"frankfurter, margarine",2
0.001603956425850431,"grapes, other vegetables",2
0.001603956425850431,"cream cheese, root vegetables",2
0.001603956425850431,"cream cheese, yogurt",2
0.001603956425850431,"ham, other vegetables",2
0.001603956425850431,"pip fruit, pork",2
0.001603956425850431,"rolls/buns, waffles",2
0.0015371249081066632,"salty snack, yogurt",2
0.0015371249081066632,"canned beer, citrus fruit",2
0.0015371249081066632,"canned beer, whipped/sour cream",2
0.0015371249081066632,"pastry, whipped/sour cream",2
0.0015371249081066632,"frankfurter, shopping bags",2
0.0015371249081066632,"beef, brown bread",2
0.0015371249081066632,"soda, white bread",2
0.0015371249081066632,"canned beer, white bread",2
0.0015371249081066632,"butter, pastry",2
0.0015371249081066632,"butter, tropical fruit",2
0.0015371249081066632,"frozen meals, soda",2
0.0015371249081066632,"bottled beer, pip fruit",2
0.0015371249081066632,"domestic eggs, newspapers",2
0.0015371249081066632,"newspapers, whipped/sour cream",2
0.0015371249081066632,"coffee, tropical fruit",2
0.0015371249081066632,"bottled water, coffee",2
0.0015371249081066632,"tropical fruit, uht-milk",2
0.0015371249081066632,"bottled beer, brown bread",2
0.0015371249081066632,"bottled water, brown bread",2
0.0015371249081066632,"brown bread, frankfurter",2
0.0015371249081066632,"onions, other vegetables",2
0.0015371249081066632,"napkins, soda",2
0.0015371249081066632,"canned beer, fruit/vegetable juice",2
0.0015371249081066632,"beverages, sausage",2
0.0015371249081066632,"pork, sausage",2
0.0015371249081066632,"pork, shopping bags",2
0.0015371249081066632,"pork, tropical fruit",2
0.0015371249081066632,"pastry, pork",2
0.0015371249081066632,potato products,1
0.0014702933903628951,"sausage, whole milk, yogurt",3
0.0014702933903628951,"bottled water, canned beer",2
0.0014702933903628951,"frankfurter, whipped/sour cream",2
0.0014702933903628951,"frankfurter, sausage",2
0.0014702933903628951,"curd, root vegetables",2
0.0014702933903628951,"bottled water, sugar",2
0.0014702933903628951,"frozen meals, rolls/buns",2
0.0014702933903628951,"citrus fruit, pip fruit",2
0.0014702933903628951,"margarine, tropical fruit",2
0.0014702933903628951,"bottled beer, shopping bags",2
0.0014702933903628951,"domestic eggs, shopping bags",2
0.0014702933903628951,"dessert, soda",2
0.0014702933903628951,"dessert, sausage",2
0.0014702933903628951,"coffee, frankfurter",2
0.0014702933903628951,"sliced cheese, whole milk",2
0.0014702933903628951,"candy, rolls/buns",2
0.0014702933903628951,"brown bread, tropical fruit",2
0.0014702933903628951,"processed cheese, whole milk",2
0.0014702933903628951,"processed cheese, rolls/buns",2
0.0014702933903628951,"onions, soda",2
0.0014702933903628951,"fruit/vegetable juice, pastry",2
0.0014702933903628951,"berries, soda",2
0.0014702933903628951,"cream cheese, soda",2
0.0014702933903628951,nut snack,1
0.0014702933903628951,abrasive cleaner,1
0.0014702933903628951,organic sausage,1
0.0014702933903628951,tidbits,1
0.001403461872619127,"salty snack, soda",2
0.001403461872619127,"misc. beverages, whole milk",2
0.001403461872619127,"hygiene articles, other vegetables",2
0.001403461872619127,"beef, whipped/sour cream",2
0.001403461872619127,"sausage, white bread",2
0.001403461872619127,"curd, pastry",2
0.001403461872619127,"bottled beer, frozen vegetables",2
0.001403461872619127,"butter, newspapers",2
0.001403461872619127,"butter, frankfurter",2
0.001403461872619127,"butter milk, soda",2
0.001403461872619127,"soda, specialty chocolate",2
0.001403461872619127,"citrus fruit, specialty chocolate",2
0.001403461872619127,"detergent, whole milk",2
0.001403461872619127,"chocolate, tropical fruit",2
0.001403461872619127,"chocolate, sausage",2
0.001403461872619127,"bottled water, chocolate",2
0.001403461872619127,"beef, margarine",2
0.001403461872619127,"butter, margarine",2
0.001403461872619127,"bottled water, margarine",2
0.001403461872619127,"chicken, tropical fruit",2
0.001403461872619127,"domestic eggs, frankfurter",2
0.001403461872619127,"coffee, shopping bags",2
0.001403461872619127,"coffee, domestic eggs",2
0.001403461872619127,"coffee, pastry",2
0.001403461872619127,"other vegetables, sliced cheese",2
0.001403461872619127,"grapes, soda",2
0.001403461872619127,"citrus fruit, napkins",2
0.001403461872619127,"butter, fruit/vegetable juice",2
0.001403461872619127,"fruit/vegetable juice, pip fruit",2
0.001403461872619127,"berries, yogurt",2
0.001403461872619127,"cream cheese, tropical fruit",2
0.001403461872619127,"bottled water, pork",2
0.001403461872619127,"chewing gum, yogurt",2
0.001403461872619127,syrup,1
0.001403461872619127,canned fruit,1
0.0013366303548753592,"rolls/buns, whole milk, yogurt",3
0.0013366303548753592,"misc. beverages, rolls/buns",2
0.0013366303548753592,"hygiene articles, rolls/buns",2
0.0013366303548753592,"canned beer, frankfurter",2
0.0013366303548753592,"frankfurter, tropical fruit",2
0.0013366303548753592,"beef, bottled water",2
0.0013366303548753592,"curd, frankfurter",2
0.0013366303548753592,"curd, pip fruit",2
0.0013366303548753592,"frozen vegetables, pip fruit",2
0.0013366303548753592,"canned beer, frozen vegetables",2
0.0013366303548753592,"butter, shopping bags",2
0.0013366303548753592,"specialty chocolate, tropical fruit",2
0.0013366303548753592,"specialty chocolate, whole milk",2
0.0013366303548753592,"frozen meals, yogurt",2
0.0013366303548753592,"chocolate, pip fruit",2
0.0013366303548753592,"red/blush wine, rolls/buns",2
0.0013366303548753592,"pastry, shopping bags",2
0.0013366303548753592,"margarine, pastry",2
0.0013366303548753592,"margarine, pork",2
0.0013366303548753592,"bottled water, chicken",2
0.0013366303548753592,"flour, whole milk",2
0.0013366303548753592,"domestic eggs, pastry",2
0.0013366303548753592,"hamburger meat, tropical fruit",2
0.0013366303548753592,"citrus fruit, coffee",2
0.0013366303548753592,"coffee, sausage",2
0.0013366303548753592,"brown bread, root vegetables",2
0.0013366303548753592,"onions, root vegetables",2
0.0013366303548753592,"meat, root vegetables",2
0.0013366303548753592,"meat, rolls/buns",2
0.0013366303548753592,"citrus fruit, fruit/vegetable juice",2
0.0013366303548753592,"oil, rolls/buns",2
0.0013366303548753592,"long life bakery product, soda",2
0.0013366303548753592,"citrus fruit, pork",2
0.0013366303548753592,"root vegetables, waffles",2
0.0013366303548753592,skin care,1
0.0013366303548753592,soap,1
0.0012697988371315912,"misc. beverages, yogurt",2
0.0012697988371315912,"beef, shopping bags",2
0.0012697988371315912,"root vegetables, white bread",2
0.0012697988371315912,"bottled water, white bread",2
0.0012697988371315912,"beef, curd",2
0.0012697988371315912,"curd, shopping bags",2
0.0012697988371315912,"beef, frozen vegetables",2
0.0012697988371315912,"other vegetables, sugar",2
0.0012697988371315912,"butter milk, yogurt",2
0.0012697988371315912,"butter milk, rolls/buns",2
0.0012697988371315912,"butter milk, other vegetables",2
0.0012697988371315912,"rolls/buns, specialty chocolate",2
0.0012697988371315912,"frozen meals, sausage",2
0.0012697988371315912,"margarine, pip fruit",2
0.0012697988371315912,"chicken, pastry",2
0.0012697988371315912,"chicken, shopping bags",2
0.0012697988371315912,"chicken, whipped/sour cream",2
0.0012697988371315912,"citrus fruit, domestic eggs",2
0.0012697988371315912,"white wine, whole milk",2
0.0012697988371315912,"hamburger meat, root vegetables",2
0.0012697988371315912,"newspapers, pip fruit",2
0.0012697988371315912,"soda, uht-milk",2
0.0012697988371315912,"soda, specialty bar",2
0.0012697988371315912,"candy, soda",2
0.0012697988371315912,"brown bread, shopping bags",2
0.0012697988371315912,"onions, yogurt",2
0.0012697988371315912,"napkins, tropical fruit",2
0.0012697988371315912,"hard cheese, yogurt",2
0.0012697988371315912,"soft cheese, yogurt",2
0.0012697988371315912,"berries, tropical fruit",2
0.0012697988371315912,"ham, yogurt",2
0.0012697988371315912,"ham, rolls/buns",2
0.0012697988371315912,"ice cream, other vegetables",2
0.0012697988371315912,prosecco,1
0.0012029673193878234,"other vegetables, rolls/buns, whole milk",3
0.0012029673193878234,"misc. beverages, other vegetables",2
0.0012029673193878234,"shopping bags, whipped/sour cream",2
0.0012029673193878234,"bottled beer, whipped/sour cream",2
0.0012029673193878234,"beef, pastry",2
0.0012029673193878234,"canned beer, curd",2
0.0012029673193878234,"brown bread, curd",2
0.0012029673193878234,"soda, sugar",2
0.0012029673193878234,"chocolate, root vegetables",2
0.0012029673193878234,"packaged fruit/vegetables, rolls/buns",2
0.0012029673193878234,"canned beer, margarine",2
0.0012029673193878234,"chicken, citrus fruit",2
0.0012029673193878234,"domestic eggs, pork",2
0.0012029673193878234,"canned beer, domestic eggs",2
0.0012029673193878234,"brown bread, domestic eggs",2
0.0012029673193878234,"dessert, shopping bags",2
0.0012029673193878234,"dessert, yogurt",2
0.0012029673193878234,"citrus fruit, newspapers",2
0.0012029673193878234,"root vegetables, sliced cheese",2
0.0012029673193878234,"specialty bar, yogurt",2
0.0012029673193878234,"rolls/buns, specialty bar",2
0.0012029673193878234,"citrus fruit, sausage",2
0.0012029673193878234,"candy, yogurt",2
0.0012029673193878234,"grapes, rolls/buns",2
0.0012029673193878234,"onions, tropical fruit",2
0.0012029673193878234,"bottled water, fruit/vegetable juice",2
0.0012029673193878234,"other vegetables, soft cheese",2
0.0012029673193878234,"soft cheese, whole milk",2
0.0012029673193878234,"beverages, rolls/buns",2
0.0012029673193878234,"long life bakery product, yogurt",2
0.0012029673193878234,"cream cheese, sausage",2
0.0012029673193878234,"cream cheese, shopping bags",2
0.0012029673193878234,"ham, soda",2
0.0012029673193878234,"ice cream, soda",2
0.0011361358016440553,"other vegetables, whole milk, yogurt",3
0.0011361358016440553,"rolls/buns, sausage, whole milk",3
0.0011361358016440553,"other vegetables, soda, whole milk",3
0.0011361358016440553,"other vegetables, rolls/buns, soda",3
0.0011361358016440553,"salty snack, sausage",2
0.0011361358016440553,"beef, butter",2
0.0011361358016440553,"beef, domestic eggs",2
0.0011361358016440553,"beef, tropical fruit",2
0.0011361358016440553,"citrus fruit, white bread",2
0.0011361358016440553,"citrus fruit, curd",2
0.0011361358016440553,"bottled beer, curd",2
0.0011361358016440553,"curd, pork",2
0.0011361358016440553,"butter, whipped/sour cream",2
0.0011361358016440553,"butter, pip fruit",2
0.0011361358016440553,"other vegetables, red/blush wine",2
0.0011361358016440553,"margarine, whipped/sour cream",2
0.0011361358016440553,"citrus fruit, margarine",2
0.0011361358016440553,"chicken, curd",2
