item_a,item_b,category_a,category_b,category_pair,cross_category,co_occurrences,support_a,support_b,pair_support,lift,jaccard,chi_squared
domestic eggs,coffee,other,beverages,beverages + other,True,21,0.037091492347791216,0.03161130789280225,0.001403461872619127,1.1969716016227643,0.0208540218470705,0.7299749332683738
citrus fruit,napkins,produce,household,household + produce,True,21,0.05313105660629553,0.022121232373187194,0.001403461872619127,1.1941059111896482,0.019004524886877826,0.7156144153278785
butter,fruit/vegetable juice,dairy,produce,dairy + produce,True,21,0.03522020985096572,0.03401724253157789,0.001403461872619127,1.1714117423381039,0.02068965517241379,0.5651884634204012
dessert,hamburger meat,dairy,meat and seafood,dairy + meat and seafood,True,9,0.02359152576355009,0.021853906302212123,0.0006014836596939117,1.1666450087065001,0.013412816691505217,0.2243123255608601
pip fruit,chocolate,produce,snacks and sweets,produce + snacks and sweets,True,20,0.049054334023925686,0.02359152576355009,0.0013366303548753592,1.1549891548502134,0.01874414245548266,0.447989119363365
dessert,napkins,dairy,household,dairy + household,True,9,0.02359152576355009,0.022121232373187194,0.0006014836596939117,1.1525465795982643,0.013333333333333336,0.1903147353456399
pork,napkins,meat and seafood,household,household + meat and seafood,True,14,0.037091492347791216,0.022121232373187194,0.0009356412484127515,1.140317356631556,0.016055045871559634,0.25671724879795904
margarine,hamburger meat,other,meat and seafood,meat and seafood + other,True,12,0.03221279155249616,0.021853906302212123,0.0008019782129252155,1.1392135216414785,0.015056461731493099,0.2156529245381175
whipped/sour cream,curd,dairy,dairy,dairy,False,25,0.043707812604424245,0.03368308494285905,0.001670787943594199,1.1348811950876172,0.02206531332744925,0.4336928176126562
domestic eggs,white bread,other,bakery,bakery + other,True,15,0.037091492347791216,0.023992514870012697,0.0010024727661565194,1.126477452382745,0.016685205784204675,0.22665056275263423
frankfurter,cream cheese,other,dairy,dairy + other,True,15,0.037759807525228894,0.023658357281293858,0.0010024727661565194,1.1221688915554224,0.016592920353982302,0.2123581799587125
frankfurter,napkins,other,household,household + other,True,14,0.037759807525228894,0.022121232373187194,0.0009356412484127515,1.1201347485495818,0.015873015873015876,0.19170195560406506
pork,margarine,meat and seafood,other,meat and seafood + other,True,20,0.037091492347791216,0.03221279155249616,0.0013366303548753592,1.1186871518821728,0.019665683382497544,0.27024885368475865
margarine,chicken,other,meat and seafood,meat and seafood + other,True,15,0.03221279155249616,0.027868742899151238,0.0010024727661565194,1.1166751246305862,0.016968325791855206,0.19436415711569685
other vegetables,frankfurter,produce,other,other + produce,True,77,0.12210118291786407,0.037759807525228894,0.005146026866270133,1.1161495948191096,0.03326133909287257,1.1017314839767653
brown bread,white bread,bakery,bakery,bakery,False,15,0.03762614448974136,0.023992514870012697,0.0010024727661565194,1.1104706679794378,0.016538037486218304,0.17550163351322792
beef,curd,meat and seafood,dairy,dairy + meat and seafood,True,19,0.03395041101383412,0.03368308494285905,0.0012697988371315912,1.1103963567054118,0.019133937562940583,0.22339119589477782
yogurt,sausage,dairy,meat and seafood,dairy + meat and seafood,True,86,0.08587850030074183,0.06034886052262247,0.005747510525964045,1.1089864739670185,0.04091341579448145,1.0723753881982536
bottled beer,frozen vegetables,beverages,produce,beverages + produce,True,21,0.04531176903027468,0.028002405934638777,0.001403461872619127,1.1060996472849387,0.01951672862453531,0.23031708881455332
newspapers,hamburger meat,other,meat and seafood,meat and seafood + other,True,14,0.038895943326872955,0.021853906302212123,0.0009356412484127515,1.1007177611736394,0.01564245810055866,0.1372429526613608
chicken,white bread,meat and seafood,bakery,bakery + meat and seafood,True,11,0.027868742899151238,0.023992514870012697,0.0007351466951814476,1.0994636046037822,0.014379084967320262,0.10431869857086698
root vegetables,frozen vegetables,produce,produce,produce,False,32,0.06957160997126245,0.028002405934638777,0.002138608567800575,1.0977511526231203,0.022408963585434174,0.30799361069639297
newspapers,napkins,other,household,household + other,True,14,0.038895943326872955,0.022121232373187194,0.0009356412484127515,1.0874160359630818,0.01557285873192436,0.10467888621393533
beef,chocolate,meat and seafood,snacks and sweets,meat and seafood + snacks and sweets,True,13,0.03395041101383412,0.02359152576355009,0.0008688097306689834,1.0847348932658207,0.015330188679245281,0.09122489142752355
bottled beer,fruit/vegetable juice,beverages,produce,beverages + produce,True,25,0.04531176903027468,0.03401724253157789,0.001670787943594199,1.083954888699573,0.021514629948364887,0.17627464042930271
frankfurter,brown bread,other,bakery,bakery + other,True,23,0.037759807525228894,0.03762614448974136,0.0015371249081066632,1.0819063487322973,0.020814479638009052,0.15400896050234472
rolls/buns,chocolate,bakery,snacks and sweets,bakery + snacks and sweets,True,42,0.11000467820624206,0.02359152576355009,0.002806923745238254,1.0815919096513482,0.021461420541645373,0.2974820682487735
bottled beer,hamburger meat,beverages,meat and seafood,beverages + meat and seafood,True,16,0.04531176903027468,0.021853906302212123,0.0010693042839002875,1.0798444787240762,0.016177957532861477,0.10115404557189639
citrus fruit,frozen vegetables,produce,produce,produce,False,24,0.05313105660629553,0.028002405934638777,0.001603956425850431,1.0780744810194982,0.02016806722689075,0.14744349797013895
curd,white bread,dairy,bakery,bakery + dairy,True,13,0.03368308494285905,0.023992514870012697,0.0008688097306689834,1.0750707432462308,0.015294117647058823,0.07225618207957181
shopping bags,dessert,household,dairy,dairy + household,True,18,0.04758404063356279,0.02359152576355009,0.0012029673193878234,1.0716093197950154,0.017191977077363897,0.09262258890758583
shopping bags,cream cheese,household,dairy,dairy + household,True,18,0.04758404063356279,0.023658357281293858,0.0012029673193878234,1.068582174823843,0.01717557251908397,0.0852037301891132
beef,white bread,meat and seafood,bakery,bakery + meat and seafood,True,13,0.03395041101383412,0.023992514870012697,0.0008688097306689834,1.066605619283662,0.01522248243559719,0.05734672986421559
newspapers,domestic eggs,other,other,other,False,23,0.038895943326872955,0.037091492347791216,0.0015371249081066632,1.0654437943097737,0.020646319569120285,0.09990306203411166
frankfurter,butter,other,dairy,dairy + other,True,21,0.037759807525228894,0.03522020985096572,0.001403461872619127,1.0553072156638847,0.0196078431372549,0.06556805287464185
brown bread,chocolate,bakery,snacks and sweets,bakery + snacks and sweets,True,14,0.03762614448974136,0.02359152576355009,0.0009356412484127515,1.0540558219574419,0.015521064301552109,0.041302279292181214
coffee,napkins,beverages,household,beverages + household,True,11,0.03161130789280225,0.022121232373187194,0.0007351466951814476,1.0512892573596573,0.013871374527112231,0.0290662198441025
frankfurter,curd,other,dairy,dairy + other,True,20,0.037759807525228894,0.03368308494285905,0.0013366303548753592,1.050920073043967,0.01906577693040992,0.053068311438593044
bottled beer,butter,beverages,dairy,beverages + dairy,True,25,0.04531176903027468,0.03522020985096572,0.001670787943594199,1.046931761571314,0.0211864406779661,0.057103874771217235
butter,chocolate,dairy,snacks and sweets,dairy + snacks and sweets,True,13,0.03522020985096572,0.02359152576355009,0.0008688097306689834,1.0456268041347947,0.014994232987312572,0.027475588781310796
whipped/sour cream,chicken,dairy,meat and seafood,dairy + meat and seafood,True,19,0.043707812604424245,0.027868742899151238,0.0012697988371315912,1.0424577768977479,0.01806083650190114,0.035342243405681234
citrus fruit,butter,produce,dairy,dairy + produce,True,29,0.05313105660629553,0.03522020985096572,0.0019381140145692708,1.0357118136359837,0.022428460943542148,0.039089922672408545
sausage,dessert,meat and seafood,dairy,dairy + meat and seafood,True,22,0.06034886052262247,0.02359152576355009,0.0014702933903628951,1.0327112332514532,0.017828200972447323,0.024845024577450775
pastry,brown bread,bakery,bakery,bakery,False,30,0.0517275947336764,0.03762614448974136,0.002004945532313039,1.0301265369628376,0.022953328232593728,0.028963575633529602
sausage,pastry,meat and seafood,bakery,bakery + meat and seafood,True,48,0.06034886052262247,0.0517275947336764,0.003207912851700862,1.0276168156103256,0.029465930018416207,0.03998135219239458
canned beer,newspapers,beverages,other,beverages + other,True,28,0.04691572545612511,0.038895943326872955,0.001871282496825503,1.0254550082728777,0.022292993630573247,0.019314621041985287
newspapers,butter,other,dairy,dairy + other,True,21,0.038895943326872955,0.03522020985096572,0.001403461872619127,1.024482090807723,0.019301470588235288,0.013249922103627828
white bread,hamburger meat,bakery,meat and seafood,bakery + meat and seafood,True,8,0.023992514870012697,0.021853906302212123,0.0005346521419501437,1.0196860119427906,0.011799410029498527,0.003184799823913019
canned beer,frozen vegetables,beverages,produce,beverages + produce,True,20,0.04691572545612511,0.028002405934638777,0.0013366303548753592,1.0174135949792273,0.0181653042688465,0.006434470933054431
soda,sausage,beverages,meat and seafood,beverages + meat and seafood,True,89,0.09710619528169484,0.06034886052262247,0.005948005079195348,1.0149749363405152,0.03925893250992501,0.023177219861140477
frankfurter,frozen vegetables,other,produce,other + produce,True,16,0.037759807525228894,0.028002405934638777,0.0010693042839002875,1.0112911060890872,0.01652892561983471,0.002156592485259461
yogurt,citrus fruit,dairy,produce,dairy + produce,True,69,0.08587850030074183,0.05313105660629553,0.004611374724319989,1.0106423904265471,0.03431128791645947,0.00893379863699597
root vegetables,shopping bags,produce,household,household + produce,True,50,0.06957160997126245,0.04758404063356279,0.003341575887188398,1.0093875810856026,0.029359953024075156,0.00492617495719979
newspapers,white bread,other,bakery,bakery + other,True,14,0.038895943326872955,0.023992514870012697,0.0009356412484127515,1.002603643186017,0.015102481121898596,0.00010091091207931004
frankfurter,domestic eggs,other,other,other,False,21,0.037759807525228894,0.037091492347791216,0.001403461872619127,1.0020664912700312,0.01910828025477707,9.658760284783734e-05
citrus fruit,beef,produce,meat and seafood,meat and seafood + produce,True,27,0.05313105660629553,0.03395041101383412,0.001804450979081735,1.000349130886941,0.02115987460815047,3.596660257974056e-06
rolls/buns,fruit/vegetable juice,bakery,produce,bakery + produce,True,56,0.11000467820624206,0.03401724253157789,0.003742564993651006,1.0001360683874942,0.026679371129109102,1.2058306406486268e-06
whole milk,bottled beer,dairy,beverages,beverages + dairy,True,107,0.15792287642852368,0.04531176903027468,0.007150972398583172,0.999330259894115,0.036468984321745064,5.974119623912823e-05
pastry,newspapers,bakery,other,bakery + other,True,30,0.0517275947336764,0.038895943326872955,0.002004945532313039,0.9964969764777963,0.022624434389140274,0.0004053478309012446
bottled beer,domestic eggs,beverages,other,beverages + other,True,25,0.04531176903027468,0.037091492347791216,0.001670787943594199,0.9941135826091578,0.020695364238410598,0.0009478934352840992
bottled beer,newspapers,beverages,other,beverages + other,True,26,0.04531176903027468,0.038895943326872955,0.0017376194613379669,0.985914707701041,0.021069692058346835,0.0057020858445805695
sausage,chocolate,meat and seafood,snacks and sweets,meat and seafood + snacks and sweets,True,21,0.06034886052262247,0.02359152576355009,0.001403461872619127,0.9857698135582053,0.017004048582995947,0.004701828405536866
curd,margarine,dairy,other,dairy + other,True,16,0.03368308494285905,0.03221279155249616,0.0010693042839002875,0.9855101099914378,0.016494845360824743,0.0036449335646868016
bottled water,chocolate,beverages,snacks and sweets,beverages + snacks and sweets,True,21,0.06068301811134131,0.02359152576355009,0.001403461872619127,0.9803415656861888,0.01693548387096774,0.009026014261315928
bottled beer,frankfurter,beverages,other,beverages + other,True,25,0.04531176903027468,0.037759807525228894,0.001670787943594199,0.9765186519435091,0.02052545155993432,0.015365986796131286
chicken,napkins,meat and seafood,household,household + meat and seafood,True,9,0.027868742899151238,0.022121232373187194,0.0006014836596939117,0.9756569366863007,0.012178619756427604,0.005750239137753668
shopping bags,newspapers,household,other,household + other,True,27,0.04758404063356279,0.038895943326872955,0.001804450979081735,0.9749435306382486,0.021310181531176007,0.01899446122263151
root vegetables,cream cheese,produce,dairy,dairy + produce,True,24,0.06957160997126245,0.023658357281293858,0.001603956425850431,0.9744867223497614,0.0175054704595186,0.017647494678156267
pip fruit,frankfurter,produce,other,other + produce,True,27,0.049054334023925686,0.037759807525228894,0.001804450979081735,0.974177135829857,0.02122641509433962,0.020197399543129785
pip fruit,frozen vegetables,produce,produce,produce,False,20,0.049054334023925686,0.028002405934638777,0.0013366303548753592,0.9730576889310867,0.0176522506619594,0.016141363049868004
domestic eggs,chicken,other,meat and seafood,meat and seafood + other,True,15,0.037091492347791216,0.027868742899151238,0.0010024727661565194,0.9697971352647613,0.01567398119122257,0.01507289612745179
sausage,white bread,meat and seafood,bakery,bakery + meat and seafood,True,21,0.06034886052262247,0.023992514870012697,0.001403461872619127,0.9692945520502688,0.0169218372280419,0.02227278910659802
margarine,chocolate,other,snacks and sweets,other + snacks and sweets,True,11,0.03221279155249616,0.02359152576355009,0.0007351466951814476,0.9673633232635501,0.013349514563106795,0.012817505420724507
canned beer,chocolate,beverages,snacks and sweets,beverages + snacks and sweets,True,16,0.04691572545612511,0.02359152576355009,0.0010693042839002875,0.9661105865071872,0.015399422521655439,0.020438941621262648
yogurt,pork,dairy,meat and seafood,dairy + meat and seafood,True,46,0.08587850030074183,0.037091492347791216,0.0030742498162133263,0.9651179584253514,0.02564102564102564,0.06588586897540191
canned beer,fruit/vegetable juice,beverages,produce,beverages + produce,True,23,0.04691572545612511,0.03401724253157789,0.0015371249081066632,0.9631448737539112,0.019360269360269362,0.03523151725055726
sausage,margarine,meat and seafood,other,meat and seafood + other,True,28,0.06034886052262247,0.03221279155249616,0.001871282496825503,0.962591270224195,0.020633750921149593,0.04476262161755039
bottled water,frankfurter,beverages,other,beverages + other,True,33,0.06068301811134131,0.037759807525228894,0.002205440085544343,0.9624946395852015,0.02291666666666667,0.05335887194324387
yogurt,canned beer,dairy,beverages,beverages + dairy,True,58,0.08587850030074183,0.04691572545612511,0.0038762280291385416,0.9620694624585674,0.030067392431311558,0.09955528761113766
canned beer,pork,beverages,meat and seafood,beverages + meat and seafood,True,25,0.04691572545612511,0.037091492347791216,0.001670787943594199,0.9601267934601269,0.020292207792207795,0.04510839930161778
shopping bags,chicken,household,meat and seafood,household + meat and seafood,True,19,0.04758404063356279,0.027868742899151238,0.0012697988371315912,0.9575384636111336,0.017117117117117116,0.03864000817952096
whipped/sour cream,white bread,dairy,bakery,bakery + dairy,True,15,0.043707812604424245,0.023992514870012697,0.0010024727661565194,0.9559556361963661,0.015030060120240482,0.03261297723671425
soda,shopping bags,beverages,household,beverages + household,True,66,0.09710619528169484,0.04758404063356279,0.004410880171088686,0.9545902704207491,0.03144354454502144,0.16579118130836354
butter,beef,dairy,meat and seafood,dairy + meat and seafood,True,17,0.03522020985096572,0.03395041101383412,0.0011361358016440553,0.9501524003048006,0.01669941060903733,0.04769979749559112
bottled water,domestic eggs,beverages,other,beverages + other,True,32,0.06068301811134131,0.037091492347791216,0.002138608567800575,0.9501448585149027,0.022361984626135572,0.09255137259613157
brown bread,curd,bakery,dairy,bakery + dairy,True,18,0.03762614448974136,0.03368308494285905,0.0012029673193878234,0.9491880233443291,0.017159199237368927,0.05264886791667341
bottled water,curd,beverages,dairy,beverages + dairy,True,29,0.06068301811134131,0.03368308494285905,0.0019381140145692708,0.9482007377106495,0.02096890817064353,0.09040929914867273
whipped/sour cream,beef,dairy,meat and seafood,dairy + meat and seafood,True,21,0.043707812604424245,0.03395041101383412,0.001403461872619127,0.945793903055696,0.018404907975460124,0.07062021441058032
whole milk,sausage,dairy,meat and seafood,dairy + meat and seafood,True,134,0.15792287642852368,0.06034886052262247,0.008955423377664907,0.9396627314134622,0.04278416347381865,0.6561234720521603
root vegetables,newspapers,produce,other,other + produce,True,38,0.06957160997126245,0.038895943326872955,0.0025395976742631824,0.9384876424004145,0.02397476340694006,0.1713272404098987
bottled beer,chocolate,beverages,snacks and sweets,beverages + snacks and sweets,True,15,0.04531176903027468,0.02359152576355009,0.0010024727661565194,0.9377898668805936,0.014763779527559053,0.06640715517877638
rolls/buns,chicken,bakery,meat and seafood,bakery + meat and seafood,True,43,0.11000467820624206,0.027868742899151238,0.0028737552629820224,0.937392006200629,0.02128712871287129,0.20782326040013283
shopping bags,coffee,household,beverages,beverages + household,True,21,0.04758404063356279,0.03161130789280225,0.001403461872619127,0.9330326389053851,0.01804123711340206,0.10943908562733214
tropical fruit,fruit/vegetable juice,produce,produce,produce,False,32,0.0677671589921807,0.03401724253157789,0.002138608567800575,0.9277114503047708,0.021462105969148226,0.20016231351079847
fruit/vegetable juice,beef,produce,meat and seafood,meat and seafood + produce,True,16,0.03401724253157789,0.03395041101383412,0.0010693042839002875,0.9258852466624387,0.015984015984015987,0.10171929917147873
bottled water,bottled beer,beverages,beverages,beverages,False,38,0.06068301811134131,0.04531176903027468,0.0025395976742631824,0.9236059672787285,0.024547803617571057,0.26775771697912265
other vegetables,frozen vegetables,produce,produce,produce,False,47,0.12210118291786407,0.028002405934638777,0.003141081333957094,0.9186793692595684,0.021373351523419737,0.3964840468781229
soda,butter,beverages,dairy,beverages + dairy,True,47,0.09710619528169484,0.03522020985096572,0.003141081333957094,0.9184178255810461,0.02431453698913606,0.39100583271830364
domestic eggs,dessert,other,dairy,dairy + other,True,12,0.037091492347791216,0.02359152576355009,0.0008019782129252155,0.9164995023351964,0.013392857142857144,0.09709806528005864
domestic eggs,chocolate,other,snacks and sweets,other + snacks and sweets,True,12,0.037091492347791216,0.02359152576355009,0.0008019782129252155,0.9164995023351964,0.013392857142857144,0.09709806528005864
rolls/buns,pip fruit,bakery,produce,bakery + produce,True,74,0.11000467820624206,0.049054334023925686,0.004945532313038829,0.9164831926791396,0.032090199479618386,0.6654440637035648
fruit/vegetable juice,dessert,produce,dairy,dairy + produce,True,11,0.03401724253157789,0.02359152576355009,0.0007351466951814476,0.9160493552318885,0.012925969447708578,0.08972654999633335
bottled water,pastry,beverages,bakery,bakery + beverages,True,43,0.06068301811134131,0.0517275947336764,0.0028737552629820224,0.9155041605482135,0.026235509456985967,0.3764727066565964
fruit/vegetable juice,margarine,produce,other,other + produce,True,15,0.03401724253157789,0.03221279155249616,0.0010024727661565194,0.91483993510993,0.015368852459016393,0.12719465449815598
yogurt,napkins,dairy,household,dairy + household,True,26,0.08587850030074183,0.022121232373187194,0.0017376194613379669,0.9146625600996862,0.016352201257861635,0.2315808936609498
whole milk,newspapers,dairy,other,dairy + other,True,84,0.15792287642852368,0.038895943326872955,0.005613847490476508,0.9139264694975372,0.029360363509262494,0.8413660516344268
sausage,butter,meat and seafood,dairy,dairy + meat and seafood,True,29,0.06034886052262247,0.03522020985096572,0.0019381140145692708,0.9118393043639059,0.020699500356887935,0.2726684341148262
root vegetables,coffee,produce,beverages,beverages + produce,True,30,0.06957160997126245,0.03161130789280225,0.002004945532313039,0.9116498406760453,0.02021563342318059,0.2850855502234246
frozen vegetables,chocolate,produce,snacks and sweets,produce + snacks and sweets,True,9,0.028002405934638777,0.02359152576355009,0.0006014836596939117,0.9104842908043568,0.01179554390563565,0.08345874234795732
coffee,chicken,beverages,meat and seafood,beverages + meat and seafood,True,12,0.03161130789280225,0.027868742899151238,0.0008019782129252155,0.9103381142865834,0.01366742596810934,0.1125692155877375
whipped/sour cream,hamburger meat,dairy,meat and seafood,dairy + meat and seafood,True,13,0.043707812604424245,0.021853906302212123,0.0008688097306689834,0.9095708367234333,0.013429752066115701,0.12494805994251447
pork,curd,meat and seafood,dairy,dairy + meat and seafood,True,17,0.037091492347791216,0.03368308494285905,0.0011361358016440553,0.9093772343772345,0.0163147792706334,0.16499654932215205
curd,hamburger meat,dairy,meat and seafood,dairy + meat and seafood,True,10,0.03368308494285905,0.021853906302212123,0.0006683151774376796,0.9079049560700938,0.01218026796589525,0.09883455820097993
domestic eggs,hamburger meat,other,meat and seafood,meat and seafood + other,True,11,0.037091492347791216,0.021853906302212123,0.0007351466951814476,0.9069234371986666,0.012629161882893227,0.11156140754749448
pork,hamburger meat,meat and seafood,meat and seafood,meat and seafood,False,11,0.037091492347791216,0.021853906302212123,0.0007351466951814476,0.9069234371986666,0.012629161882893227,0.11156140754749448
rolls/buns,shopping bags,bakery,household,bakery + household,True,71,0.11000467820624206,0.04758404063356279,0.004745037759807526,0.9064987303234263,0.031045037166593795,0.8078147471760545
pip fruit,brown bread,produce,bakery,bakery + produce,True,25,0.049054334023925686,0.03762614448974136,0.001670787943594199,0.9052201857507224,0.019654088050314465,0.271092789052131
cream cheese,hamburger meat,dairy,meat and seafood,dairy + meat and seafood,True,7,0.023658357281293858,0.021853906302212123,0.00046782062420637575,0.9048273121512121,0.010385756676557865,0.07337556699978316
whipped/sour cream,newspapers,dairy,other,dairy + other,True,23,0.043707812604424245,0.038895943326872955,0.0015371249081066632,0.9041610181069181,0.018961253091508656,0.25421748739878636
tropical fruit,hamburger meat,produce,meat and seafood,meat and seafood + produce,True,20,0.0677671589921807,0.021853906302212123,0.0013366303548753592,0.9025327373951229,0.015140045420136262,0.23086412244921956
domestic eggs,beef,other,meat and seafood,meat and seafood + other,True,17,0.037091492347791216,0.03395041101383412,0.0011361358016440553,0.9022167837128467,0.016252390057361378,0.19367885613043187
bottled beer,brown bread,beverages,bakery,bakery + beverages,True,23,0.04531176903027468,0.03762614448974136,0.0015371249081066632,0.9015886239435809,0.018883415435139574,0.2689085659965441
whole milk,domestic eggs,dairy,other,dairy + other,True,79,0.15792287642852368,0.037091492347791216,0.005279689901757669,0.9013408668931311,0.02782669954209229,1.0521453156736094
yogurt,tropical fruit,dairy,produce,dairy + produce,True,78,0.08587850030074183,0.0677671589921807,0.005212858384013901,0.8957198443579768,0.035119315623592974,1.111213288585538
frozen vegetables,white bread,produce,bakery,bakery + produce,True,9,0.028002405934638777,0.023992514870012697,0.0006014836596939117,0.8952672831586016,0.011703511053315995,0.11623480637646413
brown bread,hamburger meat,bakery,meat and seafood,bakery + meat and seafood,True,11,0.03762614448974136,0.021853906302212123,0.0007351466951814476,0.8940364256576554,0.012514220705346985,0.14675845441961458
citrus fruit,whipped/sour cream,produce,dairy,dairy + produce,True,31,0.05313105660629553,0.043707812604424245,0.0020717770500568067,0.892145096455292,0.021861777150916785,0.44640136159277755
citrus fruit,white bread,produce,bakery,bakery + produce,True,17,0.05313105660629553,0.023992514870012697,0.0011361358016440553,0.8912632925141466,0.014951627088830254,0.24403506721758655
whipped/sour cream,frankfurter,dairy,other,dairy + other,True,22,0.043707812604424245,0.037759807525228894,0.0014702933903628951,0.8908716949473628,0.018379281537176273,0.31960108059546727
whole milk,hamburger meat,dairy,meat and seafood,dairy + meat and seafood,True,46,0.15792287642852368,0.021853906302212123,0.0030742498162133263,0.890768874377023,0.01739788199697428,0.7480489581874201
yogurt,hamburger meat,dairy,meat and seafood,dairy + meat and seafood,True,25,0.08587850030074183,0.021853906302212123,0.001670787943594199,0.8902414355239829,0.01575299306868305,0.37835666838947374
other vegetables,white bread,produce,bakery,bakery + produce,True,39,0.12210118291786407,0.023992514870012697,0.0026064291920069507,0.8897137185486049,0.01816488122962273,0.6222425353176082
pastry,frankfurter,bakery,other,bakery + other,True,26,0.0517275947336764,0.037759807525228894,0.0017376194613379669,0.8896160618325674,0.019801980198019802,0.39027065308185116
rolls/buns,frozen vegetables,bakery,produce,bakery + produce,True,41,0.11000467820624206,0.028002405934638777,0.0027400922274944863,0.8895260659383998,0.020256916996047432,0.6502672830190446
brown bread,frozen vegetables,bakery,produce,bakery + produce,True,14,0.03762614448974136,0.028002405934638777,0.0009356412484127515,0.8880231626514963,0.014462809917355372,0.21132512288641445
pastry,hamburger meat,bakery,meat and seafood,bakery + meat and seafood,True,15,0.0517275947336764,0.021853906302212123,0.0010024727661565194,0.8867908873242776,0.013812154696132598,0.23372005112663502
whole milk,frankfurter,dairy,other,dairy + other,True,79,0.15792287642852368,0.037759807525228894,0.005279689901757669,0.8853879311959075,0.027729027729027734,1.4465013213411024
rolls/buns,frankfurter,bakery,other,bakery + other,True,55,0.11000467820624206,0.037759807525228894,0.0036757334759072377,0.8849181173991119,0.025510204081632657,0.9611746346652891
frankfurter,fruit/vegetable juice,other,produce,other + produce,True,17,0.037759807525228894,0.03401724253157789,0.0011361358016440553,0.8845071891788516,0.016083254493850518,0.2758065582629086
pastry,bottled beer,bakery,beverages,bakery + beverages,True,31,0.0517275947336764,0.04531176903027468,0.0020717770500568067,0.883913394769538,0.021815622800844474,0.5220613226224629
brown bread,napkins,bakery,household,bakery + household,True,11,0.03762614448974136,0.022121232373187194,0.0007351466951814476,0.8832323600907955,0.01245753114382786,0.1804404430553689
pip fruit,pork,produce,meat and seafood,meat and seafood + produce,True,24,0.049054334023925686,0.037091492347791216,0.001603956425850431,0.8815376684586494,0.018972332015810275,0.4172440880789669
pastry,chicken,bakery,meat and seafood,bakery + meat and seafood,True,19,0.0517275947336764,0.027868742899151238,0.0012697988371315912,0.8808364161384071,0.016211604095563138,0.33226716967881964
canned beer,bottled beer,beverages,beverages,beverages,False,28,0.04691572545612511,0.04531176903027468,0.001871282496825503,0.880257838959904,0.02071005917159763,0.5012442929782871
